,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
January,64.4,65.28,69.77,72.68,72.3,72.95,72.82,74.89,76.55,78.02,78.89
February,68.1,68.6,71.58,76.07,75.71,75.91,75.28,77.35,77.92,78.9,80.77
March,72.43,75.13,79.58,81.31,81.57,82.19,81.08,83.39,82.7,84.43,84.99
April,72.13,76.17,76.64,81.34,81.38,80.09,82.1,82.55,82.13,83.61,82.81
May,73.98,74.41,77.52,80.39,81.27,81.34,81.32,82.51,84.58,84.45,84.84
June,78.58,80.72,82.27,84.56,86.24,84.24,85.37,86.32,85.98,86.62,86.98
July,80.98,82.2,83.94,84.95,86.24,84.11,87.09,86.9,87.14,86.83,86.46
August,78.74,78.74,80.34,80.9,84.89,83.35,84.97,85.2,85.59,86.61,85.53
September,66.93,70.39,74.12,73.78,75.61,76.07,79.42,79.81,81.82,80.64,80.9
October,71.47,74.23,75.94,77.5,78.45,79.76,82.22,83.32,83.63,84.23,82.77
November,70.45,73.21,76.53,77.98,77.66,75.89,79.17,81.19,83.48,82.78,
December,72.52,72.74,75.81,76.57,75.6,79.17,79.87,80.85,81.11,81.54,
